Year,White,Black,Native American,Asian & Pacific Is.,Hispanic,Other/Unknown,Total
# 2013,"9,922","2,588","1,255",444,"3,855",329,"18,393"
2013%,54%,14%,7%,2%,21%,2%,100%
# 2012,"10,983","2,651","1,332",467,"3,942",385,"19,760"
2012%,56%,13%,7%,2%,20%,2%,100%
# 2011,"12,080","2,675","1,248",469,"4,260",484,"21,216"
2011%,57%,13%,6%,2%,20%,2%,100%
# 2010,"13,013","3,187","1,279",525,"4,276",487,"22,767"
2010%,57%,14%,6%,2%,19%,2%,100%
# 2009,"13,873","3,289","1,311",671,"4,331",522,"23,997"
2009%,58%,14%,5%,3%,18%,2%,100%
# 2008,"16,716","3,862","1,601",788,"4,779",540,"28,286"
2008%,58%,14%,5%,3%,18%,2%,100%
# 2007,"16,487","3,797","1,611",767,"4,129",605,"27,396"
2007%,60%,14%,6%,3%,15%,2%,100%
# 2006,"17,722","3,790","1,727",817,"4,047",683,"28,786"
2006%,62%,13%,6%,3%,14%,2%,100%
# 2005,"18,472","3,729","1,876",848,"3,992",848,"29,765"
2005%,62%,13%,6%,3%,13%,`,97%
# 2004,"19,505","3,481","1,935",811,"3,894",807,"30,433"
2004%,64%,11%,6%,3%,13%,3%,100%
